FID,id,rbd,nombre,letra,numero,direcc_cal,direcc_num,of_piso,direccion,comuna,telefono,dependenci,precio,predio_m2,edificacio,directivos,profesores,administra,tecnicos,auxiliares,personal_t,pasetotal,paselibre,furgontota,furgonacre,sitios,matriculaj,almuerzoju,rinden_sim,rinden_paa,menosde5,de6a13,de14a17,masde18,fuente,prebasica,basica,media,superior,otra,privado,bespecial,bprebasica,bbasica,bh_c,bcomercial,bindustria,btecnica,bcft,bip,bu,badulto,botra,rbd_d,localidad,clase,coord_x,coord_y,provincial,nombre_2,layer,tipo,dependen_1
11,501,9668 7,FORJADORES DEL FUTURO,,200,MIGUEL ANGEL,3231,1,03231 MIGUEL ANGEL,LA PINTANA,5421310,3,0,3000,6.5,2,25,1,0,2,30,0,0,8,0,0,600,100,0,0,90,745,0,0,1,90,745,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9668 7,SANTIAGO,BASICA,350054.56,6282576.69161,PROVINCIAL CORDILLERA,FORJADORES DEL FUTURO,BASICA,ED BASICA,Particulares Subvencionados
12,502,9620 2,JUAN DE DIOS ALDEA,F,516,MIGUEL ANGEL,3680,1,3680 MIGUEL ANGEL,LA PINTANA,5421635,1,1500,14400,0,3,39,3,0,4,49,0,1,8,1,0,1230,63,0,0,148,1033,0,0,1,148,1033,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9620 2,SANTIAGO,BASICA,350666.55728,6282687.86123,PROVINCIAL CORDILLERA,JUAN DE DIOS ALDEA,BASICA,ED BASICA,Estatales
13,503,10000077,C.A. SANTIAGO NUEVA EXTREMADURA,,,EL FUNDADOR,13354,0,13354 EL FUNDADOR,LA PINTANA,5424587,8,0,1459,3.17,1,1,0,0,16,18,0,0,0,0,0,0,0,0,0,180,0,0,0,3,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000077,SANTIAGO,PREBASICA,350376.01297,6282391.48444,PROVINCIAL CORDILLERA,C.A. SANTIAGO NUEVA EXTREMADURA,PREBASICA,ED PREBASICA,Municipales
14,504,24876 2,PROFESORA AURELIA ROJAS BURGOS,,1538,ANIBAL HUNNEUS,820,1,820 ANIBAL HUNNEUS,LA PINTANA,5437215,1,1000,0,0,4,29,0,0,4,37,0,0,0,0,0,600,100,0,0,164,1024,0,0,1,164,1024,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24876 2,SANTIAGO,BASICA,349669.02472,6285411.85181,PROVINCIAL CORDILLERA,PROFESORA AURELIA ROJAS BURGOS,BASICA,ED BASICA,Estatales
15,505,9676 8,SAN MARCELO,,253,STA ROSA,10010,1,10010 STA ROSA,LA GRANJA,5417720,3,27500,0,0,2,24,0,0,4,30,0,0,8,0,0,1200,0,0,0,0,1100,0,0,1,0,1100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9676 8,SANTIAGO,BASICA,348518.36489,6286394.53034,PROVINCIAL SUR,SAN MARCELO,BASICA,ED BASICA,Particulares Subvencionados
16,506,9618 0,BENJAMIN SUBERCASEAX,F,514,BENJAMIN SUBERCASEAX,169,1,0169 BENJAMIN SUBERCASEAX,LA GRANJA,5417803,1,3000,7002,3,4,42,1,0,5,52,0,0,10,0,0,700,100,0,0,167,1273,0,0,1,167,1273,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9618 0,SANTIAGO,BASICA,348787.30055,6286195.73652,PROVINCIAL SUR,BENJAMIN SUBERCASEAX,BASICA,ED BASICA,Estatales
17,507,9617 2,COLEGIO MUINICIPAL LA GRANJA,F,513,CANTO GRAL,331,1,0331 CANTO GRAL,LA GRANJA,5417071,1,2000,10000,0,3,50,2,0,4,59,0,27,0,0,0,800,100,0,0,70,1530,0,0,1,70,1530,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9617 2,SANTIAGO,BASICA,348850.40737,6286464.35625,PROVINCIAL SUR,COLEGIO MUINICIPAL LA GRANJA,BASICA,ED BASICA,Estatales
18,508,9637 7,CHRISTIAN GARDEN SCHOOL,,,ROBERTO HUNNEUS,185,1,0185 ROBERTO HUNNEUS,LA GRANJA,5411639,3,47000,9100,0,4,52,8,0,13,77,0,40,10,0,0,1000,100,0,29,180,1440,600,70,1,180,1440,670,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,9637 7,SANTIAGO,MEDIA,348812.56636,6286098.19501,PROVINCIAL SUR,CHRISTIAN GARDEN SCHOOL,MEDIA,ED MEDIA,Particulares Subvencionados
19,509,10000146,FRUTILLITA,,,CANTO GRAL,501,0,0501 CANTO GRAL,LA GRANJA,0,6,3300,1947,2.98,1,3,0,10,2,16,0,0,0,0,0,0,0,0,0,183,0,0,0,3,183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000146,SANTIAGO,PREBASICA,349085.65228,6286501.76745,PROVINCIAL SUR,FRUTILLITA,PREBASICA,ED PREBASICA,Municipales
20,510,24563 1,LICEO TTE DAGOBERTO GODOY,,,SGTO ALDEA,20,1,020 SGTO ALDEA,LA GRANJA,5585499,3,27500,0,0,5,47,5,0,5,62,0,32,20,0,0,0,0,0,0,0,1330,18,0,1,0,1330,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,24563 1,SANTIAGO,MEDIA,348331.89813,6287623.59551,PROVINCIAL SUR,LICEO TTE DAGOBERTO GODOY,MEDIA,ED MEDIA,Particulares Subvencionados
21,511,9588 5,TECNO SUR,D,520,SAN GRAGORIO,140,1,0140 SAN GRAGORIO,LA GRANJA,5416092,1,1500,5000,0,3,15,1,0,3,22,0,8,1,0,0,363,0,0,0,39,365,0,0,1,39,365,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9588 5,SANTIAGO,BASICA,348609.94023,6287966.55409,PROVINCIAL SUR,TECNO SUR,BASICA,ED BASICA,Estatales
22,512,9635 0,EDUCADORAS AGAZZI,,263,MANUEL RODRIGUEZ,430,1,430 MANUEL RODRIGUEZ,LA GRANJA,5416327,3,0,700,2.5,1,5,1,0,1,8,0,0,5,0,5,0,0,0,0,0,136,0,0,1,0,0,0,0,136,0,1,0,0,0,0,0,0,0,0,0,0,0,9635 0,SANTIAGO,BASICA,349312.51986,6287191.11042,PROVINCIAL SUR,EDUCADORAS AGAZZI,BASICA,ED BASICA,Particulares Subvencionados
23,513,11994 6,BAHIA DARWIN,,348,MANUEL RODRIGUEZ,545,1,0545 MANUEL RODRIGUEZ,LA GRANJA,5411127,3,30000,1620,8,2,20,2,0,5,29,0,0,9,0,2,700,0,0,0,135,592,0,0,1,135,592,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11994 6,SANTIAGO,BASICA,349696.49857,6287100.42327,PROVINCIAL SUR,BAHIA DARWIN,BASICA,ED BASICA,Particulares Subvencionados
24,514,9590 7,BELGICA,D,522,EL TABO,8143,1,8143 EL TABO,LA GRANJA,5259396,1,1000,3200,0,3,16,0,0,3,22,0,0,1,1,0,390,77,0,0,44,397,0,0,1,44,397,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9590 7,SANTIAGO,BASICA,349188.2711,6288281.71171,PROVINCIAL SUR,BELGICA,BASICA,ED BASICA,Estatales
25,515,88886,ESTRELLA DE CHILE,,294,COMBARBALA,495,0,0495 COMBARBALA,LA GRANJA,5257882,3,42500,0,0,3,2,1,0,1,7,0,0,4,0,1,0,0,0,0,0,60,0,0,1,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88886,SANTIAGO,BASICA,349289.26928,6288808.6311,PROVINCIAL SUR,ESTRELLA DE CHILE,BASICA,ED BASICA,Particulares Subvencionados
26,516,9582 6,FRANCISCO FRIAS VALENZUELA,A,104,STA ROSA,6740,1,6740 STA ROSA,LA GRANJA,5254155,1,22740,2000,5,4,35,7,0,6,52,0,0,0,0,0,1000,100,0,55,0,0,874,116,1,0,0,990,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9582 6,SANTIAGO,MEDIA,348118.06412,6289613.16456,PROVINCIAL SUR,FRANCISCO FRIAS VALENZUELA,MEDIA,ED MEDIA,Estatales
27,517,9655 5,CLAUDIO MATTE,,75,CENTRAL,141,1,0141 CENTRAL,LA GRANJA,5254972,3,6000,9350,0,3,42,0,0,4,49,0,0,10,0,0,0,0,0,0,180,1392,0,0,1,180,1392,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9655 5,SANTIAGO,BASICA,348408.75859,6289801.85,PROVINCIAL SUR,CLAUDIO MATTE,BASICA,ED BASICA,Particulares Subvencionados
28,518,9685 7,ESTRELLA DE CHILE,,294,COMBARBALA,0,1,497 0146 COMBARBALA,LA GRANJA,5257882,3,42500,102,0,3,16,3,0,3,25,0,11,4,0,1,0,0,0,0,51,345,0,0,1,51,345,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9685 7,SANTIAGO,BASICA,349294.32031,6288808.975,PROVINCIAL SUR,ESTRELLA DE CHILE,BASICA,ED BASICA,Particulares Subvencionados
29,519,9609 1,SANITAS,E,519,PDTE ALESSANDRI,619,1,0619 PDTE ALESSANDRI,LA GRANJA,5253923,1,0,1091,8.49,2,12,0,0,3,17,0,19,2,0,0,0,0,0,0,63,340,0,0,1,63,340,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9609 1,SANTIAGO,BASICA,348859.03672,6289704.75,PROVINCIAL SUR,SANITAS,BASICA,ED BASICA,Estatales
30,520,9638 5,JUAN PABLO II,,,CENTRAL,381,1,381 CENTRAL,LA GRANJA,5254175,3,17500,6500,0,2,18,3,0,4,27,0,6,8,1,0,450,0,0,0,35,360,0,0,1,35,360,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9638 5,SANTIAGO,BASICA,349087.29386,6289899.58452,PROVINCIAL SUR,JUAN PABLO II,BASICA,ED BASICA,Particulares Subvencionados
31,521,9607 5,STA TERESITA DE LOS ANDES,F,499,CENTRAL,323,1,0323 CENTRAL,LA GRANJA,5254791,1,0,5000,0,1,8,0,0,3,12,0,0,3,0,0,0,0,0,0,0,84,0,0,1,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,9607 5,SANTIAGO,BASICA,348697.23424,6289843.38456,PROVINCIAL SUR,STA TERESITA DE LOS ANDES,BASICA,ED BASICA,Estatales
32,522,11977 6,SAINT CHRISTIAN COLLEGE,,344,JOAQUIN EDWARDS BELLO,10262,1,10262 JOAQUIN EDWARDS BELLO,LA GRANJA,5416472,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1415,0,0,2,168,1415,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,11977 6,SANTIAGO,BASICA,349263.10022,6286154.92701,PROVINCIAL SUR,SAINT CHRISTIAN COLLEGE,BASICA,ED BASICA,Particulares Subvencionados
33,523,10000149,CEPILLIN,,,SAN GREGORIO,488,0,0488 SAN GREGORIO,LA GRANJA,0,6,3300,2486,3.96,1,4,0,11,2,18,0,0,0,0,0,0,0,0,0,199,0,0,0,3,199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000149,SANTIAGO,PREBASICA,349567.4375,6287941.72917,PROVINCIAL SUR,CEPILLIN,PREBASICA,ED PREBASICA,Municipales
34,524,9653 9,PREBISTERIANA EL SALVADOR,,65,LA SERENA,8283,1,8283 LA SERENA,LA GRANJA,5416263,3,0,0,0,2,11,1,0,3,17,0,0,10,3,0,0,0,0,0,0,232,0,0,1,0,232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9653 9,SANTIAGO,BASICA,349566.01205,6288002.57516,PROVINCIAL SUR,PREBISTERIANA EL SALVADOR,BASICA,ED BASICA,Particulares Subvencionados
35,525,10000148,LOS QUECHITOS,,,VALDIVIA,475,0,0475 VALDIVIA,LA GRANJA,5261627,6,2750,2280,2.58,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,84,0,0,0,3,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000148,SANTIAGO,PREBASICA,349291.925,6288388.075,PROVINCIAL SUR,LOS QUECHITOS,PREBASICA,ED PREBASICA,Municipales
36,526,9610 5,POETA OSCAR CASTRO,E,526,LA SERENA,7940,1,7940 LA SERENA,LA GRANJA,5253996,1,2000,4000,0,3,31,0,0,3,37,0,0,4,1,0,600,75,0,0,119,730,0,0,1,119,730,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9610 5,SANTIAGO,BASICA,349319.89442,6288716.79664,PROVINCIAL SUR,POETA OSCAR CASTRO,BASICA,ED BASICA,Estatales
37,527,9684 9,SAN GREGORIO DE LA SALLE,,,LA SERENA,8240,1,8240 LA SERENA,LA GRANJA,5251483,3,46500,0,0,5,60,5,0,8,78,0,82,8,0,0,1300,0,0,31,135,945,160,0,1,135,945,160,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9684 9,SANTIAGO,MEDIA,349528.92613,6288105.40702,PROVINCIAL SUR,SAN GREGORIO DE LA SALLE,MEDIA,ED MEDIA,Particulares Subvencionados
38,528,10000143,MI CAPULLITO,,,CORONEL,8960,0,8960 CORONEL,LA GRANJA,0,6,4400,2184,6.03,1,5,0,15,2,23,0,0,0,0,0,0,0,0,0,329,0,0,0,3,329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000143,SANTIAGO,PREBASICA,350104.5694,6287008.43075,PROVINCIAL SUR,MI CAPULLITO,PREBASICA,ED PREBASICA,Municipales
39,529,9612 1,ISLAS DE CHILE,E,542,TRICOLOR,777,1,0777 TRICOLOR,LA GRANJA,2815550,1,0,0,0,4,26,0,0,3,33,0,4,5,1,0,0,0,0,0,88,804,0,0,1,88,804,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9612 1,SANTIAGO,BASICA,350192.76116,6287120.67857,PROVINCIAL SUR,ISLAS DE CHILE,BASICA,ED BASICA,Estatales
40,530,10000147,BAMBI,,,SAN GREGORIO,675,0,0675 SAN GREGORIO,LA GRANJA,5416191,6,3000,0,2.58,1,1,0,4,1,7,0,0,0,0,0,0,0,0,0,102,0,0,0,3,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000147,SANTIAGO,PREBASICA,349832.48984,6287961.9,PROVINCIAL SUR,BAMBI,PREBASICA,ED PREBASICA,Municipales
41,531,9606 7,LA ARAUCANIA,D,543,CORONEL,8166,1,8166 CORONEL,LA GRANJA,5263991,1,1000,1817,7.55,2,12,0,0,2,16,0,0,4,1,1,300,83,0,0,45,375,0,0,1,45,375,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9606 7,SANTIAGO,BASICA,349937.36751,6288319.87398,PROVINCIAL SUR,LA ARAUCANIA,BASICA,ED BASICA,Estatales
42,532,9626 1,REINA GUILLERMINA DE HOLANDA,F,546,CORONEL,8160,1,8160 CORONEL,LA GRANJA,2814499,1,0,5000,0,2,7,0,0,2,11,0,0,1,1,0,0,0,0,0,0,93,0,0,1,0,0,0,0,93,0,1,0,0,0,0,0,0,0,0,0,0,0,9626 1,SANTIAGO,BASICA,349935.86316,6288333.84498,PROVINCIAL SUR,REINA GUILLERMINA DE HOLANDA,BASICA,ED BASICA,Estatales
43,533,9589 3,VENTURA MATURANA BARAHONA,D,521,ANGOL,8363,1,8363 ANGOL,LA GRANJA,2817472,1,0,2700,0,2,19,0,0,3,24,0,0,1,1,0,550,100,0,0,70,532,0,0,1,70,532,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9589 3,SANTIAGO,BASICA,350169.31797,6287858.9625,PROVINCIAL SUR,VENTURA MATURANA BARAHONA,BASICA,ED BASICA,Estatales
44,534,10000052,C.A. SAN GREGORIO,,,VALDIVIA,805,0,0805 VALDIVIA,LA GRANJA,5257751,8,0,0,0,0,1,0,6,4,11,0,0,0,0,0,0,0,0,0,155,0,0,0,3,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10000052,SANTIAGO,PREBASICA,350080.02567,6288421.16071,PROVINCIAL SUR,C.A. SAN GREGORIO,PREBASICA,ED PREBASICA,Municipales
45,535,9587 7,MALAQUIAS CONCHA,D,512,COMBARBALA,525,1,0525 COMBARBALA,LA GRANJA,5253360,1,0,0,4.8,3,29,0,0,3,35,0,0,0,0,0,0,0,0,0,89,770,0,0,1,89,770,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9587 7,SANTIAGO,BASICA,349350.17262,6288828.61905,PROVINCIAL SUR,MALAQUIAS CONCHA,BASICA,ED BASICA,Estatales
46,536,24803 7,CASA AZUL,,1508,YUNGAY,641,1,0641 YUNGAY,LA GRANJA,5266438,3,2000,1200,4.5,1,7,2,0,4,14,0,41,0,0,0,180,100,0,0,25,126,0,0,1,25,126,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,24803 7,SANTIAGO,BASICA,349603.06314,6289500.59278,PROVINCIAL SUR,CASA AZUL,BASICA,ED BASICA,Particulares Subvencionados
47,537,9443 9,HEROES DE YUNGAY,E,494,MANIO,6551,1,6551 MANIO,LA GRANJA,5260180,1,0,10000,0,2,16,0,0,3,21,0,4,0,0,0,449,80,0,0,42,366,0,0,1,42,366,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9443 9,SANTIAGO,BASICA,349761.15604,6289851.853,PROVINCIAL SUR,HEROES DE YUNGAY,BASICA,ED BASICA,Estatales
48,538,9681 4,ELLIOT COLLEGE,,277,OSORNO,646,1,0646 OSORNO,LA GRANJA,5252043,3,0,3000,0,3,17,1,0,2,23,0,0,2,2,1,0,0,0,0,70,420,0,0,1,70,420,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9681 4,SANTIAGO,BASICA,349628.80706,6289354.18704,PROVINCIAL SUR,ELLIOT COLLEGE,BASICA,ED BASICA,Particulares Subvencionados
49,539,9605 9,PROCERES DE CHILE,D,540,LINARES,875,1,0875 LINARES,LA GRANJA,5253395,1,1500,0,0,3,20,0,0,3,26,0,0,2,2,1,600,0,0,0,85,603,0,0,1,85,603,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9605 9,SANTIAGO,BASICA,350172.25,6289196.25,PROVINCIAL SUR,PROCERES DE CHILE,BASICA,ED BASICA,Estatales
50,540,9730 6,ANTU,E,554,TRINIDAD RAMIREZ,750,1,0750 TRINIDAD RAMIREZ,LA CISTERNA,5586635,1,1500,3125,0,3,21,1,0,4,29,0,40,0,0,1,270,0,0,0,72,482,0,0,1,72,482,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9730 6,SANTIAGO,BASICA,344354.18847,6287554.90389,PROVINCIAL SUR,ANTU,BASICA,ED BASICA,Estatales
51,541,9789 6,PABLO GOYENECHE IVER,,47,AUGUSTO BIAUT,270,1,0270 AUGUSTO BIAUT,LA CISTERNA,5584068,3,0,1800,3,2,6,0,0,1,9,0,0,0,0,0,80,62,0,0,0,120,0,0,1,0,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9789 6,SANTIAGO,BASICA,345168.3616,6288164.00328,PROVINCIAL SUR,PABLO GOYENECHE IVER,BASICA,ED BASICA,Particulares Subvencionados
52,542,9745 4,COLEGIO BRISAS DEL MAIPO,F,578,BRISAS DEL MAIPO,509,1,0509 BRISAS DEL MAIPO,LA CISTERNA,5589129,1,0,5167,5,3,15,3,0,4,25,0,0,0,0,0,350,98,0,0,35,295,0,0,1,35,295,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9745 4,SANTIAGO,BASICA,345026.86623,6288606.07844,PROVINCIAL SUR,COLEGIO BRISAS DEL MAIPO,BASICA,ED BASICA,Estatales
53,543,9809 4,SAINT PHILLIPS OF NERY COLLEGE,,134,AV. ITALIA,862,1,862 AV. ITALIA,LA CISTERNA,5586097,3,50000,1650,1.6,1,12,1,0,2,16,0,7,0,0,1,250,30,0,0,52,208,0,0,1,52,208,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9809 4,SANTIAGO,BASICA,344584.43306,6288666.32261,PROVINCIAL SUR,SAINT PHILLIPS OF NERY COLLEGE,BASICA,ED BASICA,Particulares Subvencionados
54,544,9797 7,ADVENTISTA LA CISTERNA,,60,OSSA,203,1,0203 OSSA,LA CISTERNA,5582027,3,60000,2000,5,2,18,3,0,2,25,0,0,0,0,4,480,80,0,0,66,441,0,0,1,66,441,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9797 7,SANTIAGO,BASICA,345113.61953,6287892.9,PROVINCIAL SUR,ADVENTISTA LA CISTERNA,BASICA,ED BASICA,Particulares Subvencionados
55,545,9766 7,STA MARIA DE LOS ANGELES,,,GRAN AVDA JOSE MIGUEL CARRERA,9439,1,9439 GRAN AVDA JOSE MIGUEL CARRERA,LA CISTERNA,5582279,3,30000,4000,0,3,22,1,0,2,28,0,315,0,0,0,300,100,0,0,27,635,0,0,1,27,635,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9766 7,SANTIAGO,BASICA,345227.24494,6287083.92365,PROVINCIAL SUR,STA MARIA DE LOS ANGELES,BASICA,ED BASICA,Particulares Subvencionados
56,547,9788 8,GRACIELA LETELIER DE IBANEZ,,46,GOYCOLEA,219,1,219 GOYCOLEA,LA CISTERNA,5584972,3,30000,0,0,3,21,2,0,1,27,0,25,0,0,10,200,0,0,0,90,610,0,0,1,90,610,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9788 8,SANTIAGO,BASICA,345161.31425,6287722.90395,PROVINCIAL SUR,GRACIELA LETELIER DE IBANEZ,BASICA,ED BASICA,Particulares Subvencionados
57,548,9811 6,REPUBLICA FEDERAL ALEMANA,,137,GOYCOLEA,147,1,0147 GOYCOLEA,LA CISTERNA,5586691,3,5000,1200,8,3,65,10,0,8,86,0,1032,0,0,0,0,0,0,0,180,1885,0,0,1,180,1885,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9811 6,SANTIAGO,BASICA,345289.19997,6287682.51817,PROVINCIAL SUR,REPUBLICA FEDERAL ALEMANA,BASICA,ED BASICA,Particulares Subvencionados
58,549,11918 0,LICEO MUNICIPAL MIXTO DE LA CISTERNA,,,GOYCOLEA,172,1,0172 GOYCOLEA,LA CISTERNA,5586691,3,26500,2000,0,2,19,1,0,1,23,0,0,0,0,0,300,0,0,67,0,0,615,0,1,0,0,615,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11918 0,SANTIAGO,MEDIA,345248.15794,6287690.10185,PROVINCIAL SUR,LICEO MUNICIPAL MIXTO DE LA CISTERNA,MEDIA,ED MEDIA,Particulares Subvencionados
