FID,codest,nomeste,codreg,nomreg,codss,nomss,codcom,nomcom,pertenen,tipoest,certifi,depend,nivel,viaacceso,direcc,longitud,latitud,cod_nuevo
11,01-608,ESSMA Sur de Arica,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,San Martín 235 Arica,-70.3121428468,-18.4816472599,101608
12,01-702,CECOF-Dr. Miguel Massa,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Francisco Urzúa 4224 Arica,-70.2890352472,-18.4358732817,101702
13,01-703,CECOF-Dr. René García Valenzuela,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,El Retiro 3473 Arica,-70.2807544656,-18.4590775274,101703
14,01-704,CECOF-Cerro La Cruz,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Rafael Sotomayor   1496 Arica,-70.3125896234,-18.4948632359,101704
15,01-900,SAPU-Dr. Amador Neghme de Arica,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Cancha Rayada 4149 Arica,-70.2905433131,-18.4376026272,200094
16,01-901,SAPU-Iris Véliz Hume,15,De Arica Parinacota,1,Servicio de Salud Arica,15101,Arica,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Barros Luco 2269 Arica,-70.2824436462,-18.4838808045,200095
17,02-011,PRAIS (S.S. Iquique),1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Aníbal Pinto 815 Iquique,-70.1523169089,-20.2151190157,102011
18,02-300,CESFAM-Cirujano Aguirre,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Pasaje,3 Pintados S/N Iquique,-70.1346740237,-20.2262589719,102300
19,02-301,CESFAM-Cirujano Videla,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Obispo Labbé S/N Iquique,-70.150170342,-20.2082628936,102301
20,02-302,CESFAM-Cirujano Guzmán,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Pedro Prado 2763 Iquique,-70.1364509765,-20.2369000291,102302
21,02-303,CGR- Pozo Almonte,1,De Tarapacá,2,Servicio de Salud Iquique,1401,Pozo Almonte,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Aldunate S/N Pozo Almonte,-69.7851294504,-20.2583572971,102303
22,02-304,CESFAM-Dr. Juan Márquez Vismarra,1,De Tarapacá,2,Servicio de Salud Iquique,1405,Pica,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Balmaceda S/N Pica,-69.330165143,-20.4919463049,102304
23,02-305,CGU- Pedro Pulgar Melgarejo,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Los Álamos S/N Alto Hospicio,-70.0975639971,-20.264813959,102305
24,02-306,CESFAM-Sur de Iquique,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Playa El Águila S/N Iquique,-70.1280348357,-20.2503081184,102306
25,02-307,CGU- Dr. Héctor Reyno Gutiérrez,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Consultorio General Urbano,S/C,Servicio de Salud,Primario,Calle,Naciones Unidas 3080 Alto Hospicio,-70.103859839,-20.2871144066,102307
26,02-308,CGR- Dr. Amador Neghme Rodríguez,1,De Tarapacá,2,Servicio de Salud Iquique,1404,Huara,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Eleuterio Ramírez S/N Huara,-69.768584984,-19.9953985656,102308
27,02-309,CGR- Camiña,1,De Tarapacá,2,Servicio de Salud Iquique,1402,Camiña,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Caserío de Camiña S/N Camiña,-69.427385263,-19.3129545876,102309
28,02-310,CGR- Colchane,1,De Tarapacá,2,Servicio de Salud Iquique,1403,Colchane,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Sector de Colchane S/N Colchane,-68.640207452,-19.2750669446,102310
29,02-600,COSAM- Dr. Jorge Seguel Cáceres,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,Serrano 493 Iquique,-70.1504151818,-20.2133485014,102600
30,02-601,COSAM- Salvador Allende,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,Céspedes S/N Iquique,-70.1297071109,-20.2508197631,102601
31,02-602,COSAM- Enrique París,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,Santa Rosa S/N Alto Hospicio,-70.0982247729,-20.2751995102,102602
32,02-701,CECOF-Cerro Esmeralda,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Ferrocarril S/N Iquique,-70.1405393004,-20.2089638442,102701
33,02-705,CECOF-El Boro,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Calle 4 S/N Alto Hospicio,-70.0965926204,-20.2461754801,102705
34,02-800,SAPU-Cirujano Aguirre,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Pasaje,Chintaguay S/N Iquique,-70.1346740237,-20.2262589719,102800
35,02-801,SAPU-Cirujano Videla,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Obispo Labbé S/N Iquique,-70.150170342,-20.2082628936,102801
36,02-802,SAPU-Cirujano Guzmán,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Pedro Prado 2736 Iquique,-70.1364509765,-20.2369000291,102802
37,02-803,SAPU-Pozo Almonte,1,De Tarapacá,2,Servicio de Salud Iquique,1401,Pozo Almonte,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Aldunate S/N Pozo Almonte,-69.7851294504,-20.2583572971,102803
38,02-805,SAPU-Pedro Pulgar Melgarejo,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Teniente Merino 3101 Alto Hospicio,-70.0975639971,-20.264813959,102805
39,02-806,SAPU-Sur de Iquique,1,De Tarapacá,2,Servicio de Salud Iquique,1101,Iquique,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Playa El Águila S/N Iquique,-70.1280348357,-20.2503081184,102806
40,02-807,SAPU-El Boro,1,De Tarapacá,2,Servicio de Salud Iquique,1107,Alto Hospicio,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Salitrera Domeyko 2765 Alto Hospicio,-70.1037228002,-20.2873249383,102807
41,02-900,SAPU-Huara,1,De Tarapacá,2,Servicio de Salud Iquique,1404,Huara,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Ramírez S/N Huara,-69.768584984,-19.9953985656,200096
42,03-011,PRAIS (S.S Antofagasta),2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Bolívar 523 Antofagasta,-70.3952487664,-23.6466520249,103011
43,03-105,Centro Oncológico Ambulatorio,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Centro de Diagnostico y Terapeutico,S/C,Servicio de Salud,Secundario,Calle,Los Pumas 10255 Antofagasta,-70.3787891707,-23.5698373673,103105
44,03-278,Laboratorio Clínico COMDES,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Laboratorio Clinico o Dental,S/C,Municipal,Primario,Calle,Bañados Espinoza 1850 Calama,-68.923346216,-22.4597983676,103278
45,03-279,Laboratorio Sarita Núñez,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Laboratorio Clinico o Dental,S/C,Municipal,Primario,Calle,Cristóbal Colón 5262 Antofagasta,-70.3803368582,-23.6266445648,103279
46,03-300,CESFAM-Norte de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Juan Glasinovic S/N Antofagasta,-70.3803089081,-23.5970553568,103300
47,03-301,CGU- Antonio Rendic (Ex Cautín),2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Avenida,Rendic 6071 Antofagasta,-70.3826930128,-23.6157205066,103301
48,03-302,CGU- Corvallis,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Avenida,Salvado Allende 1370 Antofagasta,-70.3803764521,-23.6289425126,103302
49,03-303,CESFAM-Centro Sur de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Pasaje,Niebla 850 Antofagasta,-70.403347504,-23.6671693345,103303
50,03-304,CESFAM-Juan Pablo II de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Teniente Julio Montt S/N Antofagasta,-70.3812489934,-23.5819040438,103304
51,03-305,CGU- Central de Calama,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Félix Hoyos S/N Calama,-68.9302417868,-22.4592203354,103305
52,03-306,CESFAM-Montt,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Granaderos 3968 Calama,-68.9273483337,-22.4425112828,103306
53,03-307,CGU- Alemania de Calama,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Colonia 2611 Calama,-68.9398244681,-22.4545136594,103307
54,03-308,CGU- Central Oriente de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Avenida,Circunvalación S/N Antofagasta,-70.3856610024,-23.6512102046,103308
55,03-309,CGR- María Elena,2,De Antofagasta,3,Servicio de Salud Antofagasta,2302,Maria Elena,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Diego de Almagro S/N Maria Elena,-69.664248735,-22.3410884095,103309
56,03-311,CGR- San Pedro Atacama,2,De Antofagasta,3,Servicio de Salud Antofagasta,2203,San Pedro de Atacama,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Atacama S/N San Pedro de Atacama,-68.1992648875,-22.9106575855,103311
57,03-312,CESFAM-Norponiente,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Luis Emilio Recabarren 3825 Calama,-68.9355994543,-22.438908202,103312
58,03-350,CRS-Asistencial Norte,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Centro de Referencia de Salud,S/C,Servicio de Salud,Secundario,Calle,Los Pumas 10255 Antofagasta,-70.3790949875,-23.5691465821,103350
59,03-601,COSAM- Calama,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Avenida,Argentina 2610 Calama,-68.9396403547,-22.4575565286,103601
60,03-602,COSAM- Sur de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Calle,Antonio Varas 1222 Antofagasta,-70.4018787844,-23.6644964995,103602
61,03-603,COSAM- Central,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Consultorio de Salud Mental,S/C,Servicio de Salud,Secundario,Avenida,Rendic 6071 Antofagasta,-70.3829262865,-23.6155161646,103603
62,03-704,CECOF-Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Villa Agrícola S/N Antofagasta,-70.3854369484,-23.5432334391,103704
63,03-705,CECOF-Sur,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Avenida,Bernardo O'Higgins S/N Calama,-68.9290188392,-22.4774102089,103705
64,03-707,CECOF-Alemania,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Calle,Chacabuco 3076 Calama,-68.9397277615,-22.4579392439,103707
65,03-800,SAPU-Norte de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Juan Glasinovic con Bandera S/N Antofagasta,-70.3803089081,-23.5970553568,103800
66,03-801,SAPU-Antonio Rendic,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Rendic 6071 Antofagasta,-70.3826930128,-23.6157205066,103801
67,03-802,SAPU-Corvallis,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Salvador Allende 1370 Antofagasta,-70.3803764521,-23.6289425126,103802
68,03-804,SAPU-Juan Pablo II de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Huamachuco con Teniente Julio Montt S/N Antofagasta,-70.3812489934,-23.5819040438,103804
69,03-806,SAPU-Enrique Montt,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Luis Emilio Recabarren 3825 Calama,-68.9273483337,-22.4425112828,103806
70,03-807,SAPU-Alemania de Calama,2,De Antofagasta,3,Servicio de Salud Antofagasta,2201,Calama,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Alonso de Ercilla 2902 Calama,-68.9391391833,-22.4514108423,103807
71,03-900,SAPU-Central Oriente de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Padre Hurtado S/N Antofagasta,-70.3856610024,-23.6512102046,200097
72,03-901,SAPU-Centro Sur de Antofagasta,2,De Antofagasta,3,Servicio de Salud Antofagasta,2101,Antofagasta,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Pasaje,Niebla 850 Antofagasta,-70.403347504,-23.6671693345,200098
73,04-011,PRAIS (S.S Atacama),3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Calle,Chacabuco 520 Copiapo,-70.332056011,-27.3656313388,104011
74,04-300,CESFAM-Santa Elvira,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Los Aromos S/N Copiapo,-70.3224199429,-27.3793396762,104300
75,04-301,CESFAM-Rosario Corvalán,3,De Atacama,4,Servicio de Salud Atacama,3102,Caldera,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Canal de Beagle S/N Caldera,-70.8248707544,-27.0733763663,104301
76,04-302,CESFAM-Juan Martínez,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Batallón  S/N Copiapo,-70.3453200491,-27.36074707,104302
77,04-303,CESFAM-Pedro León Gallo,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Flora Normilla 1007 Copiapo,-70.3263626983,-27.359598023,104303
78,04-304,CESFAM-Rosario-Palomar,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Chacabuco 671 Copiapo,-70.3352193831,-27.38331238,104304
79,04-305,CGU- Candelaria Rosario,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Vallenar S/N Copiapo,-70.3386526359,-27.3777201347,104305
80,04-306,CESFAM-Manuel Rodríguez,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Luis Flores S/N Copiapo,-70.3158001843,-27.375619335,104306
81,04-307,CESFAM-Paipote,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Las Delicias S/N Copiapo,-70.2710376018,-27.4141154676,104307
82,04-308,CGR- Salvador Allende Gossens,3,De Atacama,4,Servicio de Salud Atacama,3103,Tierra Amarilla,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Lorenzo Jofré S/N Tierra Amarilla,-70.2667383828,-27.4687573042,104308
83,04-309,CESFAM-Modular,3,De Atacama,4,Servicio de Salud Atacama,3201,Chañaral,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Merino Jarpa S/N Chañaral,-70.6151144502,-26.3371464362,104309
84,04-311,CGR- El Salvador,3,De Atacama,4,Servicio de Salud Atacama,3202,Diego de Almagro,Perteneciente,Consultorio General Rural,S/C,Municipal,Primario,Calle,Cobresal 2508 Diego de Almagro,-69.6222048019,-26.2532584441,104311
85,04-313,CESFAM-Estación,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Ramírez S/N Vallenar,-70.7644706199,-28.5722293002,104313
86,04-314,CESFAM-Freirina,3,De Atacama,4,Servicio de Salud Atacama,3303,Freirina,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Santiago Zavala S/N Freirina,-71.074716251,-28.5092699891,104314
87,04-315,CESFAM-Hermanos Carrera,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Lautaro S/N Vallenar,-70.7605491872,-28.5715980162,104315
88,04-316,CESFAM-Baquedano,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Perú S/N Vallenar,-70.7448464296,-28.5782226316,104316
89,04-317,CESFAM-Joan Crawford Astudillo,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,España S/N Vallenar,-70.7584462949,-28.5904220822,104317
90,04-319,CGU- Juan Verdaguer,3,De Atacama,4,Servicio de Salud Atacama,3304,Huasco,Perteneciente,Consultorio General Urbano,S/C,Municipal,Primario,Calle,Maipú S/N Huasco,-71.2178443683,-28.4687601797,104319
91,04-321,CESFAM-Dr. Bernardo Mellibovsky,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,Los Loros S/N Copiapo,-70.3120612357,-27.3688247266,104321
92,04-322,CGR- Alto del Carmen,3,De Atacama,4,Servicio de Salud Atacama,3302,Alto del Carmen,Perteneciente,Consultorio General Rural,Centro de Salud Familiar,Municipal,Primario,Calle,Jerónimo Godoy 6 Alto del Carmen,-70.487116064,-28.7585027278,104322
93,04-701,CECOF-Orfelia Lavín,3,De Atacama,4,Servicio de Salud Atacama,3102,Caldera,Perteneciente,Centro Comunitario de Salud Familiar,S/C,Municipal,Primario,Avenida,La Piña S/N Caldera,-70.8088220733,-27.0738146857,104701
94,04-900,SAPU-Hermanos Carrera,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Perú S/N Vallenar,-70.7605491872,-28.5715980162,200099
95,04-901,SAPU-Dr. Bernardo Mellibovsky,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Los Loros S/N Copiapo,-70.3120612357,-27.3688247266,200100
96,04-902,SAPU-Joan Crawford Astudillo,3,De Atacama,4,Servicio de Salud Atacama,3301,Vallenar,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Los Escritores 1800 Vallenar,-70.7584462949,-28.5904220822,200101
97,04-903,SAPU-Paipote,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Avenida,Las Delicias S/N Copiapo,-70.2710376018,-27.4141154676,200102
98,04-904,SAPU-Rosario Corvalán,3,De Atacama,4,Servicio de Salud Atacama,3102,Caldera,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Canal Beagle S/N Caldera,-70.8248707544,-27.0733763663,200103
99,04-909,SAPU-El Palomar,3,De Atacama,4,Servicio de Salud Atacama,3101,Copiapo,Perteneciente,Servicio de Atencion Primaria de Urgencia,S/C,Municipal,Primario,Calle,Vicuña S/N Copiapo,-70.3352193831,-27.38331238,200104
100,05-011,PRAIS (S.S Coquimbo),4,De Coquimbo,5,Servicio de Salud Coquimbo,4101,La Serena,Perteneciente,Programa de Reparacion y Atencion Integral de Salud,S/C,Servicio de Salud,No Aplica,Avenida,Francisco de Aguirre 795 La Serena,-71.2468876664,-29.9073665682,105011
101,05-300,CESFAM-Cardenal Caro,4,De Coquimbo,5,Servicio de Salud Coquimbo,4101,La Serena,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Avenida,4 Esquinas S/N La Serena,-71.2582289688,-29.9329060417,105300
102,05-301,CESFAM-Las Compañías,4,De Coquimbo,5,Servicio de Salud Coquimbo,4101,La Serena,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Esmeralda S/N La Serena,-71.2451471578,-29.8782521827,105301
103,05-302,CESFAM-Pedro Aguirre Cerda,4,De Coquimbo,5,Servicio de Salud Coquimbo,4101,La Serena,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,Emilio Bello 918 La Serena,-71.2187569715,-29.9162703613,105302
104,05-303,CESFAM-San Juan,4,De Coquimbo,5,Servicio de Salud Coquimbo,4102,Coquimbo,Perteneciente,Consultorio General Urbano,Centro de Salud Familiar,Municipal,Primario,Calle,J.J. Oliver S/N Coquimbo,-71.3252079916,-29.9757040037,105303
